SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2026-04-02,2782.18,2808.96,2740.22,5.82,0.20%,3002.07,2487.17,8696007492.60,19987201,101730
2,2026-04-01,2776.36,2851.65,2761.27,-74.73,-2.62%,3002.07,2487.17,11839865944.90,27139624,121665
3,2026-03-31,2851.09,2860.55,2788.84,19.70,0.69%,3002.07,2487.17,10933824092.00,25253851,135883
4,2026-03-30,2831.39,2891.53,2821.82,-47.71,-1.65%,3002.07,2487.17,12684011611.34,29275788,157006
5,2026-03-29,2879.11,2958.79,2872.99,-71.05,-2.40%,3002.07,2487.17,14780506355.10,32829045,193715
6,2026-03-26,2950.16,2951.28,2918.22,14.21,0.48%,3002.07,2487.17,12908987990.10,26531224,140444
7,2026-03-25,2935.94,2969.50,2929.44,-24.45,-0.82%,3002.07,2487.17,14797410616.39,31893539,135670
8,2026-03-24,2960.40,2960.40,2928.34,23.83,0.81%,3002.07,2487.17,14317175790.10,31457283,123913
9,2026-03-23,2936.56,2941.53,2906.05,5.01,0.17%,3002.07,2487.17,15560570179.96,34491025,153842
10,2026-03-22,2931.55,2939.08,2890.68,54.51,1.89%,3002.07,2487.17,23170697985.70,55765260,201288
11,2026-03-19,2877.03,2882.86,2814.24,64.69,2.30%,3002.07,2487.17,20797007433.30,52305786,187678
12,2026-03-17,2812.34,2812.34,2787.37,13.51,0.48%,3002.07,2487.17,11572972933.20,31312777,103714
13,2026-03-16,2798.83,2827.62,2792.13,-26.07,-0.92%,3002.07,2487.17,11632739652.40,28219524,100615
14,2026-03-15,2824.90,2839.35,2808.57,4.45,0.15%,3002.07,2487.17,13899298696.14,36211659,121574
15,2026-03-12,2820.44,2830.27,2781.00,23.87,0.85%,3002.07,2487.17,13945134775.57,36980951,126506
16,2026-03-11,2796.57,2854.48,2793.39,-46.78,-1.64%,3002.07,2487.17,12959250838.80,32173893,113682
17,2026-03-10,2843.35,2911.36,2796.13,-32.08,-1.11%,3002.07,2487.17,21220248354.90,49892786,202809
18,2026-03-09,2875.43,2875.43,2757.12,162.93,6.00%,3002.07,2487.17,549526127.70,1062864,3995
19,2026-03-03,2712.49,2712.60,2666.05,38.52,1.44%,3002.07,2487.17,6175862330.95,14451245,60497
20,2026-03-01,2673.97,2674.20,2626.70,19.04,0.71%,3002.07,2487.17,5563508279.13,12050147,54245
21,2026-02-26,2654.93,2666.22,2646.43,6.03,0.22%,3002.07,2487.17,4073659935.78,9113129,43446
